City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Tipitapa,NI,80.62,scattered clouds,12.1973,-86.0971,Hotel Entre Rios
11,Sao Filipe,CV,78.06,scattered clouds,14.8961,-24.4956,Hotel Xaguate
18,Port Blair,IN,81.64,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
21,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
25,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Valvedditturai,LK,83.5,overcast clouds,9.8167,80.1667,Kanahathy Vadali
41,Labuhan,ID,84.99,moderate rain,-6.8844,112.2051,DoubleFAG
42,Hilo,US,80.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
47,Tabas,IR,78.73,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
49,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
50,Saint George,US,79.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
51,Innisfail,AU,77.86,overcast clouds,-17.5333,146.0333,Moondarra Motel
59,Kavieng,PG,84.29,light rain,-2.5744,150.7967,Nusa Island Retreat
62,Inhambane,MZ,75.74,clear sky,-23.865,35.3833,Oceano
64,Butaritari,KI,82.33,clear sky,3.0707,172.7902,Isles Sunset Lodge
69,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
72,Atuona,PF,77.07,few clouds,-9.8,-139.0333,Villa Enata
78,Vanimo,PG,85.57,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
81,Ratnagiri,IN,81.19,overcast clouds,16.9833,73.3,Hotel Landmark
84,Karratha,AU,87.44,clear sky,-20.7377,116.8463,ibis Styles Karratha
85,Saint-Pierre,RE,78.57,clear sky,-21.3393,55.4781,Alize Plage
89,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
94,Barghat,IN,79.12,broken clouds,22.0333,79.7167,Malgudi Square
95,Sorong,ID,83.57,broken clouds,-0.8833,131.25,Waigo Splash Hotel
101,Bambanglipuro,ID,81.46,overcast clouds,-7.95,110.2833,Puri Brata
108,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
114,Minab,IR,89.89,clear sky,27.1467,57.0801,Bam campground
118,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
124,Lorengau,PG,85.73,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
