,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Codrington,AU,-38.2667,141.9667,64.08,83,96,13.04,light rain
1,East London,ZA,-33.0153,27.9116,63.64,83,84,13.13,broken clouds
2,Rikitea,PF,-23.1203,-134.9692,69.67,61,71,20.24,broken clouds
3,Cermik,TR,38.1361,39.4493,73.71,40,19,1.86,few clouds
4,Busselton,AU,-33.65,115.3333,56.55,72,92,14.12,overcast clouds
5,Saint Stephen,GB,50.3333,-4.9,55.67,76,20,8.05,few clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,65.55,96,60,3.0,broken clouds
7,Ilulissat,GL,69.2167,-51.1,26.62,68,100,0.0,overcast clouds
8,Tipitapa,NI,12.1973,-86.0971,80.62,83,40,0.0,scattered clouds
9,Graaff-Reinet,ZA,-32.2522,24.5308,53.92,93,67,0.94,broken clouds
10,Brae,GB,60.3964,-1.353,48.87,83,46,29.37,light rain
11,Sao Filipe,CV,14.8961,-24.4956,78.06,86,48,13.18,scattered clouds
12,Cape Town,ZA,-33.9258,18.4232,61.38,78,40,6.91,scattered clouds
13,Yumen,CN,40.2833,97.2,55.31,32,0,3.94,clear sky
14,Yellowknife,CA,62.456,-114.3525,41.56,81,20,17.27,few clouds
15,Bluff,NZ,-46.6,168.3333,45.81,55,95,20.47,overcast clouds
16,Punta Arenas,CL,-53.15,-70.9167,39.31,81,0,9.22,clear sky
17,Caravelas,BR,-17.7125,-39.2481,72.55,92,52,5.77,broken clouds
18,Port Blair,IN,11.6667,92.75,81.64,77,100,10.49,overcast clouds
19,Handan,CN,36.6006,114.4678,56.97,58,100,9.15,overcast clouds
20,Aksu,CN,41.1231,80.2644,61.97,27,95,4.94,overcast clouds
21,Vaini,TO,-21.2,-175.2,80.76,89,75,3.44,broken clouds
22,Ushuaia,AR,-54.8,-68.3,38.86,87,40,10.36,scattered clouds
23,Esperance,AU,-33.8667,121.9,60.64,66,54,25.66,broken clouds
24,Port Alfred,ZA,-33.5906,26.891,60.19,91,68,5.01,broken clouds
25,Kapaa,US,22.0752,-159.319,80.58,74,20,12.66,few clouds
26,Jamestown,US,42.097,-79.2353,53.24,67,0,1.01,clear sky
27,Valvedditturai,LK,9.8167,80.1667,83.5,72,100,12.62,overcast clouds
28,Bredasdorp,ZA,-34.5322,20.0403,47.89,90,9,7.58,clear sky
29,Batagay-Alyta,RU,67.8006,130.4114,21.25,75,93,10.76,overcast clouds
30,Takestan,IR,36.0696,49.6959,64.53,36,0,6.85,clear sky
31,Carnarvon,AU,-24.8667,113.6333,69.78,39,0,23.13,clear sky
32,Luderitz,NA,-26.6481,15.1594,53.42,74,12,16.75,few clouds
33,Albany,US,42.6001,-73.9662,48.92,94,5,3.96,clear sky
34,Novikovo,RU,51.1537,37.8879,47.08,90,86,7.74,overcast clouds
35,Espanola,US,35.9911,-106.0806,52.65,84,87,0.72,overcast clouds
36,Mataura,NZ,-46.1927,168.8643,45.48,79,78,8.05,broken clouds
37,Leningradskiy,RU,69.3833,178.4167,27.07,90,97,5.79,overcast clouds
38,Torbay,CA,47.6666,-52.7314,48.76,92,40,12.66,scattered clouds
39,Mar Del Plata,AR,-38.0023,-57.5575,55.09,90,84,0.0,mist
40,Hermanus,ZA,-34.4187,19.2345,54.82,82,27,13.58,scattered clouds
41,Labuhan,ID,-6.8844,112.2051,84.99,65,86,5.7,moderate rain
42,Hilo,US,19.7297,-155.09,80.28,88,100,4.0,overcast clouds
43,Challans,FR,46.8436,-1.8749,50.92,88,41,6.62,scattered clouds
44,North Bend,US,43.4065,-124.2243,56.16,97,100,11.5,mist
45,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,40,21.85,scattered clouds
46,New Norfolk,AU,-42.7826,147.0587,55.92,64,100,5.01,light rain
47,Tabas,IR,33.5959,56.9244,78.73,14,0,1.19,clear sky
48,Dunedin,NZ,-45.8742,170.5036,42.75,80,87,23.09,overcast clouds
49,The Valley,AI,18.217,-63.0578,82.26,74,7,20.02,clear sky
50,Saint George,US,37.1041,-113.5841,79.39,24,0,9.22,clear sky
51,Innisfail,AU,-17.5333,146.0333,77.86,80,97,8.32,overcast clouds
52,Hofn,IS,64.2539,-15.2082,41.85,56,57,11.52,broken clouds
53,South Lake Tahoe,US,38.9332,-119.9844,58.84,50,0,3.44,clear sky
54,Arraial Do Cabo,BR,-22.9661,-42.0278,68.92,85,100,10.47,overcast clouds
55,Cidreira,BR,-30.1811,-50.2056,63.61,85,100,22.06,overcast clouds
56,Kenosha,US,42.5667,-88.0501,61.23,73,0,3.44,clear sky
57,Katherine,AU,-14.4667,132.2667,97.12,30,40,12.66,scattered clouds
58,Chara,RU,56.9064,118.2631,28.78,60,96,3.74,overcast clouds
59,Kavieng,PG,-2.5744,150.7967,84.29,72,74,12.19,light rain
60,Uvira,CD,-3.4067,29.1458,69.93,57,98,3.71,overcast clouds
61,Ponta Do Sol,PT,32.6667,-17.1,70.43,83,29,4.83,scattered clouds
62,Inhambane,MZ,-23.865,35.3833,75.74,77,0,7.07,clear sky
63,Matveyevka,RU,52.15,56.1833,53.38,29,98,15.1,overcast clouds
64,Butaritari,KI,3.0707,172.7902,82.33,74,8,14.07,clear sky
65,Ahipara,NZ,-35.1667,173.1667,54.27,55,60,18.66,broken clouds
66,Kita,ML,13.0349,-9.4895,68.23,83,47,3.38,scattered clouds
67,Hasaki,JP,35.7333,140.8333,55.8,84,100,26.53,light rain
68,Vila Velha,BR,-20.3297,-40.2925,73.35,88,100,6.91,overcast clouds
69,Grand Gaube,MU,-20.0064,57.6608,75.6,67,7,11.99,clear sky
70,Mariental,NA,-24.6333,17.9667,65.52,19,1,7.14,clear sky
71,Chapais,CA,49.7834,-74.8492,58.78,96,97,8.08,moderate rain
72,Atuona,PF,-9.8,-139.0333,77.07,78,16,21.0,few clouds
73,Shelburne,CA,44.0787,-80.2041,57.65,65,97,7.36,overcast clouds
74,Araucaria,BR,-25.5931,-49.4103,61.45,95,100,7.67,overcast clouds
75,Fort Frances,CA,48.5999,-93.4003,50.05,74,20,5.75,few clouds
76,Sitka,US,57.0531,-135.33,55.29,100,100,3.44,light rain
77,Haines Junction,CA,60.7522,-137.5108,55.35,44,54,8.05,broken clouds
78,Vanimo,PG,-2.6741,141.3028,85.57,70,92,10.0,overcast clouds
79,Dasoguz,TM,41.8363,59.9666,55.35,28,0,9.22,clear sky
80,Sao Borja,BR,-28.6606,-56.0044,66.94,99,100,5.5,heavy intensity rain
81,Ratnagiri,IN,16.9833,73.3,81.19,78,99,7.0,overcast clouds
82,Hede,CN,33.7681,120.2517,58.14,74,100,3.85,moderate rain
83,Qaanaaq,GL,77.484,-69.3632,4.32,72,33,7.29,scattered clouds
84,Karratha,AU,-20.7377,116.8463,87.44,27,0,9.98,clear sky
85,Saint-Pierre,RE,-21.3393,55.4781,78.57,53,0,4.61,clear sky
86,Dikson,RU,73.5069,80.5464,32.85,98,100,15.64,overcast clouds
87,Khandyga,RU,62.6667,135.6,26.02,54,54,1.66,broken clouds
88,Hobart,AU,-42.8794,147.3294,56.26,75,75,20.71,broken clouds
89,Isangel,VU,-19.55,169.2667,80.71,78,75,9.22,broken clouds
90,Khatanga,RU,71.9667,102.5,15.28,96,100,6.13,overcast clouds
91,Lebu,CL,-37.6167,-73.65,50.49,95,100,13.8,light rain
92,Uray,RU,60.1247,64.7758,46.36,57,100,6.67,overcast clouds
93,Chokurdakh,RU,70.6333,147.9167,21.81,90,98,9.78,overcast clouds
94,Barghat,IN,22.0333,79.7167,79.12,82,70,10.98,broken clouds
95,Sorong,ID,-0.8833,131.25,83.57,72,64,4.88,broken clouds
96,Krasnyy Chikoy,RU,50.3643,108.7512,45.1,32,36,3.36,scattered clouds
97,Bangassou,CF,4.7413,22.8184,68.29,99,98,0.58,moderate rain
98,Sekoma,BW,-24.4,23.8833,71.55,35,0,16.53,clear sky
99,Hualmay,PE,-11.0964,-77.6139,60.06,83,20,9.73,few clouds
100,Scarborough,GB,54.2797,-0.4044,49.78,85,1,8.99,clear sky
101,Bambanglipuro,ID,-7.95,110.2833,81.46,72,99,13.56,overcast clouds
102,Sobolevo,RU,54.4299,31.8996,45.41,97,79,6.26,broken clouds
103,Marshall,US,34.3834,-86.3333,58.28,80,0,0.0,clear sky
104,Husavik,IS,66.0449,-17.3389,36.03,91,100,19.1,overcast clouds
105,San Sebastian,ES,43.3128,-1.975,64.24,83,100,2.3,overcast clouds
106,Severo-Kurilsk,RU,50.6789,156.125,46.8,63,20,14.03,few clouds
107,Cowra,AU,-33.8333,148.6833,64.11,79,95,10.07,overcast clouds
108,Makakilo City,US,21.3469,-158.0858,79.12,69,0,10.36,clear sky
109,Mount Gambier,AU,-37.8333,140.7667,60.71,100,75,9.22,heavy intensity rain
110,Krasnoselkup,RU,65.7,82.4667,35.19,78,100,4.21,overcast clouds
111,Barrow,US,71.2906,-156.7887,33.82,86,40,12.66,scattered clouds
112,Chuy,UY,-33.6971,-53.4616,58.51,84,100,11.27,overcast clouds
113,Port Lincoln,AU,-34.7333,135.8667,67.55,61,39,12.75,scattered clouds
114,Minab,IR,27.1467,57.0801,89.89,51,0,1.21,clear sky
115,Longyearbyen,SJ,78.2186,15.6401,39.04,81,75,13.8,broken clouds
116,Ostrovnoy,RU,68.0531,39.5131,45.48,83,76,20.56,broken clouds
117,Christchurch,NZ,-43.5333,172.6333,48.4,43,75,20.71,broken clouds
118,Salalah,OM,17.0151,54.0924,78.89,78,0,2.3,clear sky
119,Mantua,IT,45.1667,10.7833,58.15,90,68,2.33,broken clouds
120,Olenegorsk,RU,68.15,33.3,43.02,95,99,7.14,overcast clouds
