City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2022-10-05 19:58:08,-33.65,115.3333,48.6,63,12,8.5
1,Bredasdorp,ZA,2022-10-05 19:58:09,-34.5322,20.0403,51.37,90,0,5.28
2,Nizwa,OM,2022-10-05 19:54:23,22.9333,57.5333,80.44,44,9,1.03
3,Acandi,CO,2022-10-05 19:58:09,8.5063,-77.2778,82.92,84,98,0.98
4,West Richland,US,2022-10-05 19:58:10,46.3043,-119.3614,79.77,46,40,0.0
5,Bud,US,2022-10-05 19:58:10,39.447,-86.1758,78.85,30,46,3.4
6,Plettenberg Bay,ZA,2022-10-05 19:58:10,-34.0527,23.3716,55.44,86,100,4.0
7,Ushuaia,AR,2022-10-05 19:58:11,-54.8,-68.3,51.46,43,40,11.5
8,Butaritari,KI,2022-10-05 19:58:11,3.0707,172.7902,81.79,71,9,20.27
9,Dunmore Town,BS,2022-10-05 19:58:12,25.5,-76.65,81.03,70,18,9.33
10,Qaanaaq,GL,2022-10-05 19:58:12,77.484,-69.3632,6.98,73,50,7.72
11,Kapaa,US,2022-10-05 19:53:19,22.0752,-159.319,80.1,83,9,1.99
12,Yokadouma,CM,2022-10-05 19:58:13,3.5167,15.05,69.93,98,98,1.28
13,Cherskiy,RU,2022-10-05 19:58:13,68.75,161.3,22.93,78,100,8.25
14,Albany,US,2022-10-05 19:58:14,42.6001,-73.9662,64.89,80,98,3.78
15,Sambava,MG,2022-10-05 19:58:14,-14.2667,50.1667,68.85,90,5,10.42
16,Nautla,MX,2022-10-05 19:58:15,20.2167,-96.7833,78.57,83,57,6.69
17,San Cristobal,VE,2022-10-05 19:58:15,7.7669,-72.225,80.78,86,100,1.05
18,Iesolo,IT,2022-10-05 19:58:15,45.5331,12.6448,64.26,77,100,5.19
19,Tiarei,PF,2022-10-05 19:58:16,-17.5333,-149.3333,82.42,73,3,26.66
20,Rikitea,PF,2022-10-05 19:58:16,-23.1203,-134.9692,69.01,64,0,22.28
21,Marawi,PH,2022-10-05 19:58:16,7.9986,124.2928,68.47,91,100,0.47
22,Punta Arenas,CL,2022-10-05 19:53:49,-53.15,-70.9167,53.71,43,75,16.11
23,Sayyan,YE,2022-10-05 19:58:17,15.1718,44.3244,62.6,36,33,8.84
24,Calatayud,ES,2022-10-05 19:58:18,41.3535,-1.6432,66.83,54,0,4.79
25,Olga,RU,2022-10-05 19:58:18,43.7444,135.2892,32.81,61,4,6.33
26,Whitehorse,CA,2022-10-05 19:58:19,60.7161,-135.0538,49.01,65,75,15.01
27,Akyab,MM,2022-10-05 19:58:19,20.15,92.9,79.75,83,29,4.16
28,Yellowknife,CA,2022-10-05 19:58:19,62.456,-114.3525,37.92,65,75,12.66
29,Asfi,MA,2022-10-05 19:58:20,32.2994,-9.2372,70.07,81,98,15.12
30,Atuona,PF,2022-10-05 19:58:20,-9.8,-139.0333,77.31,71,1,14.99
31,Porto Torres,IT,2022-10-05 19:58:21,40.835,8.3972,66.38,72,0,2.86
32,Barrow,US,2022-10-05 19:58:21,71.2906,-156.7887,31.37,89,13,17.07
33,Saint George,US,2022-10-05 19:57:28,37.1041,-113.5841,86.43,23,0,1.99
34,Cape Town,ZA,2022-10-05 19:56:21,-33.9258,18.4232,59.88,63,0,5.01
35,Hobart,AU,2022-10-05 19:58:22,-42.8794,147.3294,50.25,81,75,13.8
36,Griffith,US,2022-10-05 19:58:22,41.5284,-87.4237,79.25,27,0,6.91
37,Vaini,TO,2022-10-05 19:58:22,-21.2,-175.2,76.48,87,100,13.56
38,Montevideo,UY,2022-10-05 19:58:23,-34.8335,-56.1674,68.02,74,40,14.97
39,Nayoro,JP,2022-10-05 19:58:23,44.3506,142.4578,40.68,96,100,5.97
40,Saskylakh,RU,2022-10-05 19:58:24,71.9167,114.0833,4.24,98,81,4.56
41,Guarapari,BR,2022-10-05 19:56:06,-20.6667,-40.4975,75.88,90,77,4.05
